OBJECTID,ORIGID,CountyName,PopulationCensus16,TimeStamp,IGEasting,IGNorthing,Lat,Long,UGI,ConfirmedCovidCases,PopulationProportionCovidCases,ConfirmedCovidDeaths,ConfirmedCovidRecovered,Shape__Length,Shape__Area
1394,16,Mayo,130507,4/22/2020 0:00,117679,297355,53.9191,-9.2537,http://data.geohive.ie/resource/county/2ae19629-1443-13a3-e055-000000000001,391,299.6007877,,,2101964.077,16036984139
1395,17,Meath,195044,4/22/2020 0:00,284946,271349,53.6851,-6.715,http://data.geohive.ie/resource/county/2ae19629-1444-13a3-e055-000000000001,568,291.2163409,,,554844.7505,6658570746
1396,18,Monaghan,61386,4/22/2020 0:00,268914,326818,54.1857,-6.9452,http://data.geohive.ie/resource/county/2ae19629-1445-13a3-e055-000000000001,318,518.0334278,,,392803.0473,3768943157
1397,19,Offaly,77961,4/22/2020 0:00,222690,223679,53.2632,-7.6607,http://data.geohive.ie/resource/county/2ae19629-1446-13a3-e055-000000000001,217,278.3443004,,,561440.3786,5558826350
1398,20,Roscommon,64544,4/22/2020 0:00,182029,283486,53.8008,-8.2735,http://data.geohive.ie/resource/county/2ae19629-1447-13a3-e055-000000000001,111,171.9757065,,,622494.1546,7278743876
1399,21,Sligo,65535,4/22/2020 0:00,165130,323355,54.1581,-8.5345,http://data.geohive.ie/resource/county/2ae19629-1449-13a3-e055-000000000001,105,160.2197299,,,682286.8703,5348370378
1400,22,Tipperary,159553,4/22/2020 0:00,205427,154345,52.6407,-7.9206,http://data.geohive.ie/resource/county/2ae19629-144a-13a3-e055-000000000001,343,214.975588,,,781276.5797,11551196729
1401,23,Waterford,116176,4/22/2020 0:00,234676,105809,52.2035,-7.4935,http://data.geohive.ie/resource/county/2ae19629-144b-13a3-e055-000000000001,122,105.0130836,,,643184.904,4848379555
1402,24,Westmeath,88770,4/22/2020 0:00,238362,255966,53.5524,-7.4219,http://data.geohive.ie/resource/county/2ae19629-144c-13a3-e055-000000000001,409,460.7412414,,,422669.3327,5208705730
1403,25,Wexford,149722,4/22/2020 0:00,301627,141559,52.5164,-6.5037,http://data.geohive.ie/resource/county/2ae19629-144d-13a3-e055-000000000001,143,95.51034584,,,589324.4767,6332221063
1404,26,Wicklow,142425,4/22/2020 0:00,311162,197894,53.0205,-6.3442,http://data.geohive.ie/resource/county/2ae19629-144e-13a3-e055-000000000001,506,355.274706,,,427539.1986,5580728579
1405,1,Carlow,56932,4/23/2020 0:00,278661,163444,52.7168,-6.8367,http://data.geohive.ie/resource/county/2ae19629-143d-13a3-e055-000000000001,88,154.5703646,,,319348.5725,2432351721
1406,2,Cavan,76176,4/23/2020 0:00,246380,304501,53.9878,-7.2937,http://data.geohive.ie/resource/county/2ae19629-1448-13a3-e055-000000000001,536,703.6336904,,,515954.4965,5575009911
1407,3,Clare,118817,4/23/2020 0:00,133493,182732,52.8917,-8.9889,http://data.geohive.ie/resource/county/2ae19629-1450-13a3-e055-000000000001,207,174.2174941,,,1013948.95,8722541706
1408,4,Cork,542868,4/23/2020 0:00,156242,77860,51.9517,-8.6372,http://data.geohive.ie/resource/county/2ae19629-1451-13a3-e055-000000000001,1103,203.1801469,,,2129949.409,19529490886
1409,5,Donegal,159192,4/23/2020 0:00,202615,405691,54.8989,-7.96,http://data.geohive.ie/resource/county/2ae19629-1452-13a3-e055-000000000001,437,274.511282,,,2145085.774,14624041937
1410,6,Dublin,1347359,4/23/2020 0:00,313762,235813,53.3605,-6.292,http://data.geohive.ie/resource/county/2ae19629-144f-13a3-e055-000000000001,9010,668.7156133,,,449433.5318,2612632655
1411,7,Galway,258058,4/23/2020 0:00,151045,235818,53.3705,-8.7362,http://data.geohive.ie/resource/county/2ae19629-1453-13a3-e055-000000000001,332,128.6532485,,,1972288.286,17079158586
1412,8,Kerry,147707,4/23/2020 0:00,92975,102996,52.1689,-9.565,http://data.geohive.ie/resource/county/2ae19629-1454-13a3-e055-000000000001,276,186.8564117,,,1753779.819,12483603408
1413,9,Kildare,222504,4/23/2020 0:00,281262,221513,53.238,-6.7837,http://data.geohive.ie/resource/county/2ae19629-1455-13a3-e055-000000000001,1003,450.778413,,,422182.0368,4726063622
1414,10,Kilkenny,99232,4/23/2020 0:00,253094,148060,52.5816,-7.2175,http://data.geohive.ie/resource/county/2ae19629-1456-13a3-e055-000000000001,229,230.7723315,,,453397.5722,5585391835
1415,11,Laois,84697,4/23/2020 0:00,244211,193996,52.9952,-7.3423,http://data.geohive.ie/resource/county/2ae19629-143e-13a3-e055-000000000001,204,240.85859,,,398512.4622,4731211499
1416,12,Leitrim,32044,4/23/2020 0:00,200446,319670,54.1261,-7.9939,http://data.geohive.ie/resource/county/2ae19629-143f-13a3-e055-000000000001,62,193.4839596,,,453253.685,4618679673
1417,13,Limerick,194899,4/23/2020 0:00,149743,141780,52.5255,-8.7412,http://data.geohive.ie/resource/county/2ae19629-1440-13a3-e055-000000000001,441,226.271043,,,673892.6905,7206726912
1418,14,Longford,40873,4/23/2020 0:00,220162,275901,53.7325,-7.6952,http://data.geohive.ie/resource/county/2ae19629-1441-13a3-e055-000000000001,113,276.4661268,,,315245.1728,3097977869
1419,15,Louth,128884,4/23/2020 0:00,299463,297349,53.9161,-6.487,http://data.geohive.ie/resource/county/2ae19629-1442-13a3-e055-000000000001,590,457.7759846,,,352203.5172,2386326963
1420,16,Mayo,130507,4/23/2020 0:00,117679,297355,53.9191,-9.2537,http://data.geohive.ie/resource/county/2ae19629-1443-13a3-e055-000000000001,395,302.6657574,,,2101964.077,16036984139
1421,17,Meath,195044,4/23/2020 0:00,284946,271349,53.6851,-6.715,http://data.geohive.ie/resource/county/2ae19629-1444-13a3-e055-000000000001,578,296.3433892,,,554844.7505,6658570746
1422,18,Monaghan,61386,4/23/2020 0:00,268914,326818,54.1857,-6.9452,http://data.geohive.ie/resource/county/2ae19629-1445-13a3-e055-000000000001,327,532.6947512,,,392803.0473,3768943157
1423,19,Offaly,77961,4/23/2020 0:00,222690,223679,53.2632,-7.6607,http://data.geohive.ie/resource/county/2ae19629-1446-13a3-e055-000000000001,222,284.7577635,,,561440.3786,5558826350
1424,20,Roscommon,64544,4/23/2020 0:00,182029,283486,53.8008,-8.2735,http://data.geohive.ie/resource/county/2ae19629-1447-13a3-e055-000000000001,114,176.6236986,,,622494.1546,7278743876
1425,21,Sligo,65535,4/23/2020 0:00,165130,323355,54.1581,-8.5345,http://data.geohive.ie/resource/county/2ae19629-1449-13a3-e055-000000000001,104,158.6938277,,,682286.8703,5348370378
1426,22,Tipperary,159553,4/23/2020 0:00,205427,154345,52.6407,-7.9206,http://data.geohive.ie/resource/county/2ae19629-144a-13a3-e055-000000000001,345,216.22909,,,781276.5797,11551196729
1427,23,Waterford,116176,4/23/2020 0:00,234676,105809,52.2035,-7.4935,http://data.geohive.ie/resource/county/2ae19629-144b-13a3-e055-000000000001,129,111.0384245,,,643184.904,4848379555
